gene.name,ensg.ID,Type,Subtype,TypeClass,MarkerInfo,ExpressionLevelInfo
EPCAM,,Epithelial,Epithelial,Epithelial,positive_marker,""""""
AGER,,Epithelial,AT1,AT1,positive_marker,""""""
PDPN,,Epithelial,AT1,AT1,positive_marker,""""""
SFTPC,,Epithelial,AT2,AT2,positive_marker,""""""
ABCA3,,Epithelial,AT2,AT2,positive_marker,""""""
SFTPD,,Epithelial,AT2,AT2,positive_marker,""""""
SFTPC,,Epithelial,Transitional.AT2,AT2,positive_marker,low
AGER,,Epithelial,Transitional.AT2,AT2,positive_marker,low
KRT5,,Epithelial,Basal,Basal cell,positive_marker,""""""
KRT17,,Epithelial,Basal,Basal cell,positive_marker,""""""
COL1A1,,Epithelial,Basal,Basal cell,negative_marker,""""""
KRT17,,Epithelial,KRT5_KRT17,KRT5-/KRT17+,positive_marker,""""""
COL1A1,,Epithelial,KRT5_KRT17,KRT5-/KRT17+,positive_marker,""""""
KRT5,,Epithelial,KRT5_KRT17,KRT5-/KRT17+,negative_marker,""""""
MUC5B,,Epithelial,MUC5B,Epithelial cell,positive_marker,""""""
SCGB1A1,,Epithelial,MUC5B,Epithelial cell,positive_marker,""""""
MUC5AC,,Epithelial,MUC5AC_High,Epithelial cell,positive_marker,""""""
SCGB3A2,,Epithelial,SCGB3A2,Epithelial cell,positive_marker,""""""
SCGB1A1,,Epithelial,SCGB3A3,Epithelial cell,negative_marker,""""""
MGP,,Epithelial,SCGB3A2_SCGB1A1,Epithelial cell,positive_marker,""""""
SCGB1A1,,Epithelial,SCGB3A2_SCGB1A1,Epithelial cell,positive_marker,""""""
SCGB3A2,,Epithelial,SCGB3A2_SCGB1A1,Epithelial cell,positive_marker,""""""
FOXJ1,,Epithelial,Ciliated,Ciliated cell,positive_marker,""""""
TMEM190,,Epithelial,Ciliated,Ciliated cell,positive_marker,""""""
CAPS,,Epithelial,Ciliated,Ciliated cell,positive_marker,""""""
HYDIN,,Epithelial,Ciliated,Ciliated cell,positive_marker,""""""
FOXJ1,,Epithelial,Differentiating.Ciliated,Ciliated cell,positive_marker,""""""
SFTPB,,Epithelial,Differentiating.Ciliated,Ciliated cell,positive_marker,""""""
